game_1|NC A&T/Liberty
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|New Mexico State
game_35|Memphis
game_36|Duke
game_37|Gonzaga
game_38|Boise State/La Salle
game_39|New Mexico
game_40|Iona
game_41|North Carolina
game_42|VCU
game_43|UCLA
game_44|Florida GC
game_45|Temple
game_46|Montana
game_47|Davidson
game_48|Illinois
game_49|Colorado State
game_50|Memphis
game_51|Boise State/La Salle
game_52|New Mexico
game_53|North Carolina
game_54|Florida GC
game_55|Montana
game_56|Illinois
game_57|Memphis
game_58|Boise State/La Salle
game_59|North Carolina
game_60|Illinois
game_61|Boise State/La Salle
game_62|Illinois
game_63|Illinois
name|Todd the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
