game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|New Mexico State
game_35|Valparaiso
game_36|Creighton
game_37|Pittsburgh
game_38|Ole Miss
game_39|Harvard
game_40|Ohio State
game_41|Villanova
game_42|Michigan
game_43|UCLA
game_44|Oklahoma
game_45|Indiana
game_46|California
game_47|Bucknell
game_48|Illinois
game_49|New Mexico State
game_50|Valparaiso
game_51|Ole Miss
game_52|Harvard
game_53|Villanova
game_54|UCLA
game_55|Indiana
game_56|Bucknell
game_57|Valparaiso
game_58|Harvard
game_59|Villanova
game_60|Bucknell
game_61|Valparaiso
game_62|Bucknell
game_63|Bucknell
name|Troy the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
