game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Missouri
game_34|New Mexico State
game_35|Michigan State
game_36|Cincinnati
game_37|Wichita State
game_38|Ole Miss
game_39|Belmont
game_40|Iona
game_41|Kansas
game_42|South Dakota State
game_43|UCLA
game_44|Florida GC
game_45|LIU/James Madison
game_46|UNLV
game_47|Bucknell
game_48|Miami
game_49|New Mexico State
game_50|Cincinnati
game_51|Ole Miss
game_52|Iona
game_53|South Dakota State
game_54|Florida GC
game_55|UNLV
game_56|Bucknell
game_57|New Mexico State
game_58|Iona
game_59|Florida GC
game_60|UNLV
game_61|Iona
game_62|UNLV
game_63|Iona
name|Ty the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
