game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|California
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Oklahoma State
game_35|Michigan State
game_36|Duke
game_37|Wichita State
game_38|Ole Miss
game_39|Belmont
game_40|Iona
game_41|Kansas
game_42|Michigan
game_43|Florida
game_44|Florida GC
game_45|Indiana
game_46|California
game_47|Bucknell
game_48|Illinois
game_49|Colorado State
game_50|Michigan State
game_51|Ole Miss
game_52|Iona
game_53|Michigan
game_54|Florida
game_55|California
game_56|Bucknell
game_57|Colorado State
game_58|Ole Miss
game_59|Florida
game_60|Bucknell
game_61|Colorado State
game_62|Florida
game_63|Colorado State
name|Tyson the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
