game_1|Louisville
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Syracuse
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Missouri
game_34|Saint Louis
game_35|Middle Tenn/St Marys
game_36|Cincinnati
game_37|Southern
game_38|Boise State/La Salle
game_39|New Mexico
game_40|Iona
game_41|North Carolina
game_42|Akron
game_43|UCLA
game_44|Florida GC
game_45|Temple
game_46|UNLV
game_47|Marquette
game_48|Colorado
game_49|Saint Louis
game_50|Middle Tenn/St Marys
game_51|Boise State/La Salle
game_52|New Mexico
game_53|North Carolina
game_54|Florida GC
game_55|UNLV
game_56|Colorado
game_57|Middle Tenn/St Marys
game_58|New Mexico
game_59|Florida GC
game_60|Colorado
game_61|Middle Tenn/St Marys
game_62|Florida GC
game_63|Florida GC
name|Ximena the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
