game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oregon
game_35|Valparaiso
game_36|Albany
game_37|Southern
game_38|Ole Miss
game_39|Harvard
game_40|Notre Dame
game_41|Villanova
game_42|South Dakota State
game_43|UCLA
game_44|Georgetown
game_45|Indiana
game_46|UNLV
game_47|Butler
game_48|Illinois
game_49|Oregon
game_50|Valparaiso
game_51|Southern
game_52|Harvard
game_53|South Dakota State
game_54|Georgetown
game_55|Indiana
game_56|Illinois
game_57|Valparaiso
game_58|Southern
game_59|Georgetown
game_60|Indiana
game_61|Valparaiso
game_62|Indiana
game_63|Indiana
name|Yuliana the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
